Account,trades_count,win_rate,avg_profit,avg_notional
0x420ab45e0bd8863569a5efbb9c05d91f40624641,383,0.2349869451697128,520.9023308929503,5189.3674106527415
0x083384f897ee0f19899168e3b1bec365f52a9012,3818,0.3596123624934521,419.1277684596647,16159.576805322158
0x430f09841d65beb3f27765503d0f850b8bce7713,1051,0.5699333967649858,396.329088811608,2580.497083807764
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,1134,0.4532627865961199,375.49840834656084,9561.075193818342
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,1358,0.28276877761413843,289.89912677393227,2179.493383092047
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,417,0.5731414868105515,174.6918088057554,2066.6892135438216
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,4134,0.48863086598935657,163.13594461344945,8954.378704246672
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,332,0.4759036144578313,161.13327482831323,3445.4712839478584
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,14410,0.34073560027758504,141.6323682199167,3879.3165400240277
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2478,0.3486682808716707,136.04263810169493,7524.482448623084
0x6d6a4b953f202f8df5bed40692e7fd865318264a,822,0.49148418491484186,132.01777968613138,779.8790032208105
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,372,0.41397849462365593,79.7775932016129,3233.5287956023435
0x513b8629fe877bb581bf244e326a047b249c4ff1,6000,0.40016666666666667,67.2502747015,27373.685171748337
0x8170715b3b381dffb7062c0298972d4727a0a63b,3071,0.28622598502116575,63.92178210582872,2250.1390686887007
0x2c229d22b100a7beb69122eed721cee9b24011dd,3234,0.5197897340754484,52.142233782931356,3142.909507651206
0xbaaaf6571ab7d571043ff1e313a9609a10637864,21190,0.46753185464841907,44.36796662019821,3210.7751869131353
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,534,0.32209737827715357,40.746875941947565,8330.193693576779
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,8948,0.8093428699150648,40.408652514528384,2755.616011323089
0x4f93fead39b70a1824f981a54d4e55b278e9f760,7479,0.3584703837411419,40.28451551397246,17091.235241590217
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2804,0.30920114122681885,38.943572800998574,3302.609906987809
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1856,0.33135775862068967,34.763948078663795,6292.944939640624
0x271b280974205ca63b716753467d5a371de622ab,1146,0.43019197207678883,27.71648205148342,10908.184094685865
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,36534,0.4347457163190453,22.20350847889637,1862.8043093851475
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,8340,0.35335731414868105,12.226096299040767,520.7206874686829
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,13266,0.43811246796321424,9.974029977762703,509.0165186401994
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,3853,0.44303140410070074,9.786185608097586,1759.743466261808
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,1554,0.4510939510939511,9.511868112612612,3643.3612477773486
0x8477e447846c758f5a675856001ea72298fd9cb5,11216,0.31624465049928674,6.875051602353779,812.6480293019027
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,13485,0.3508342602892102,6.636672072376714,1307.230370964855
0xb899e522b5715391ae1d4f137653e7906c5e2115,4838,0.4386109962794543,4.648305254443986,22504.555712558496
0x39cef799f8b69da1995852eea189df24eb5cae3c,3589,0.32766787405962666,4.0281190682641395,4790.5754360799665
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,617,0.29497568881685576,-44.90205419611021,1894.0419088982896
